t,alt,ax,ay,az,gx,gy,gz,escPWM,rollDeg,pitchDeg
31176,-52.59,0.0002,0.0120,1.0020,0.0009,-0.0003,-0.0013,1579,8.18,-6.79
31274,-52.59,-0.0286,0.0161,0.9932,-0.0025,0.0091,0.0382,1579,8.18,-6.72
31372,-52.66,-0.0054,0.0149,1.0120,-0.0013,-0.0019,-0.0141,1579,8.18,-6.68
31470,-52.57,0.0049,-0.0095,0.9973,0.0012,-0.0003,0.0029,1579,8.18,-6.16
31568,-52.50,-0.0051,0.0066,1.0032,-0.0044,0.0013,0.0001,1579,8.18,-5.80
31666,-52.50,0.0234,0.0164,0.9807,-0.0005,0.0045,0.0009,1579,8.18,-5.92
31764,-52.33,-0.0095,-0.0020,0.9937,0.0085,0.0047,0.0036,1579,8.18,-5.86
31863,-52.74,0.0002,0.0063,0.9944,-0.0063,-0.0012,-0.0031,1579,8.18,-5.82
31962,-52.60,0.0134,-0.0081,1.0044,0.0048,0.0027,-0.0051,1579,8.18,-5.74
32060,-52.64,0.0024,-0.0027,1.0012,-0.0009,0.0029,-0.0011,1579,8.18,-5.74
32158,-52.56,0.0090,0.0000,0.9978,-0.0007,0.0027,-0.0027,1579,8.18,-5.74
32256,-52.51,-0.0020,0.0061,1.0034,0.0008,0.0000,-0.0011,1579,8.18,-5.74
32354,-52.60,0.0066,-0.0005,1.0017,0.0016,0.0005,0.0009,1579,8.18,-5.74
32452,-52.86,0.0039,0.0105,0.9995,-0.0001,0.0015,-0.0024,1579,8.18,-5.74
32550,-52.46,0.0068,0.0029,0.9900,0.0005,0.0007,-0.0008,1579,8.18,-5.74
32648,-52.69,0.0115,-0.0037,1.0032,-0.0004,0.0008,0.0005,1579,8.18,-5.74
32746,-52.52,0.0037,0.0032,1.0005,-0.0003,0.0020,-0.0033,1579,8.18,-5.74
32844,-52.61,0.0061,-0.0029,0.9941,-0.0024,0.0017,0.0005,1579,8.18,-5.74
32943,-52.73,0.0112,-0.0034,0.9944,0.0029,0.0015,-0.0019,1579,8.18,-5.74
33042,-52.87,0.0020,0.0027,1.0015,0.0024,0.0013,-0.0041,1579,8.18,-5.74
33140,-52.85,0.0051,-0.0049,1.0002,0.0001,0.0041,0.0043,1579,8.18,-5.74
33238,-52.77,0.0012,0.0032,1.0000,-0.0029,0.0015,-0.0004,1579,8.18,-5.74
33336,-52.84,-0.0020,-0.0022,0.9851,0.0005,0.0019,0.0000,1579,8.18,-5.74
33434,-52.59,0.0071,0.0015,1.0073,0.0040,0.0013,-0.0015,1579,8.18,-5.74
33532,-52.70,0.0010,-0.0015,1.0007,-0.0008,-0.0003,0.0008,1579,8.18,-5.74
33630,-52.66,-0.0005,-0.0012,1.0007,-0.0013,0.0035,0.0009,1579,8.18,-5.74
33728,-52.54,0.0015,0.0005,1.0037,-0.0019,0.0005,0.0013,1579,8.18,-5.74
33826,-52.84,0.0107,0.0049,1.0024,0.0043,0.0011,-0.0028,1579,8.18,-5.74
